대업종,중업종,항목,전체,5인 미만,5~9인,10~29인,30~49인,50~99인,100~299인,300~499인,500~999인,1000인 이상,통계기준년
기타의 사업,기타의 각종사업,요양재해율 (%),0.19,0.35,0.21,0.21,0.21,0.12,0.09,0.05,0.03,0.02,2022
총계,소계,사업장수 (개소),2945136,2178996,383332,278656,51624,31364,16698,2485,1332,649,2023
총계,소계,근로자수 (명),20637107,3455239,2490660,4426239,1934621,2130269,2686455,938918,902300,1672406,2023
총계,소계,요양재해자수 (명),136796,38480,16834,28951,10729,10696,13936,4984,3459,8727,2023
총계,소계,요양재해율 (%),0.66,1.11,0.68,0.65,0.55,0.5,0.52,0.53,0.38,0.52,2023
광업,소계,사업장수 (개소),1026,607,155,220,30,7,5,1,1,0,2023
광업,소계,근로자수 (명),9713,1148,1017,3754,1178,505,856,494,761,0,2023
광업,소계,요양재해자수 (명),2988,115,74,284,199,191,799,701,550,75,2023
광업,소계,요양재해율 (%),30.76,10.02,7.28,7.57,16.89,37.82,93.34,141.9,72.27,-,2023
광업,석탄광업 및 채석업,사업장수 (개소),52,28,10,9,1,0,2,1,1,0,2023
광업,석탄광업 및 채석업,근로자수 (명),2073,50,60,184,44,0,480,494,761,0,2023
광업,석탄광업 및 채석업,요양재해자수 (명),2589,45,38,116,151,158,762,694,550,75,2023
광업,석탄광업 및 채석업,요양재해율 (%),124.89,90,63.33,63.04,343.18,-,158.75,140.49,72.27,-,2023
광업,석회석·금속·비금속광업 및 기타광업,사업장수 (개소),974,579,145,211,29,7,3,0,0,0,2023
광업,석회석·금속·비금속광업 및 기타광업,근로자수 (명),7640,1098,957,3570,1134,505,376,0,0,0,2023
광업,석회석·금속·비금속광업 및 기타광업,요양재해자수 (명),399,70,36,168,48,33,37,7,0,0,2023
광업,석회석·금속·비금속광업 및 기타광업,요양재해율 (%),5.22,6.38,3.76,4.71,4.23,6.53,9.84,-,0,0,2023
제조업,소계,사업장수 (개소),412474,275436,61799,53583,10626,6754,3483,447,208,138,2023
제조업,소계,근로자수 (명),4006893,463172,405798,875967,401893,465657,554555,169946,142700,527205,2023
제조업,소계,요양재해자수 (명),32967,6552,4398,7726,2640,2803,2963,959,625,4301,2023
제조업,소계,요양재해율 (%),0.82,1.41,1.08,0.88,0.66,0.6,0.53,0.56,0.44,0.82,2023
제조업,식료품제조업,사업장수 (개소),32519,19798,5225,5182,1130,747,364,44,22,7,2023
제조업,식료품제조업,근로자수 (명),346484,33855,34604,84837,42981,51959,58615,16790,14251,8592,2023
제조업,식료품제조업,요양재해자수 (명),3400,511,453,951,407,457,396,111,54,60,2023
제조업,식료품제조업,요양재해율 (%),0.98,1.51,1.31,1.12,0.95,0.88,0.68,0.66,0.38,0.7,2023
제조업,섬유 및 섬유제품 제조업,사업장수 (개소),27029,19738,3608,2762,520,289,100,9,2,1,2023
제조업,섬유 및 섬유제품 제조업,근로자수 (명),160269,32274,23487,44753,19705,19532,14510,3344,1571,1093,2023
제조업,섬유 및 섬유제품 제조업,요양재해자수 (명),1082,285,142,307,106,110,92,21,1,18,2023
제조업,섬유 및 섬유제품 제조업,요양재해율 (%),0.68,0.88,0.6,0.69,0.54,0.56,0.63,0.63,0.06,1.65,2023
제조업,목재 및 종이제품 제조업,사업장수 (개소),18412,12759,2894,2204,299,160,85,10,1,0,2023
제조업,목재 및 종이제품 제조업,근로자수 (명),115850,21593,18904,35368,11202,11092,13452,3680,559,0,2023
제조업,목재 및 종이제품 제조업,요양재해자수 (명),1590,489,324,438,109,90,114,22,4,0,2023
제조업,목재 및 종이제품 제조업,요양재해율 (%),1.37,2.26,1.71,1.24,0.97,0.81,0.85,0.6,0.72,0,2023
제조업,출판·인쇄·제본업,사업장수 (개소),18791,14235,2365,1646,286,168,82,4,5,0,2023
제조업,출판·인쇄·제본업,근로자수 (명),103909,22768,15382,26697,10584,11285,12120,1628,3445,0,2023
제조업,출판·인쇄·제본업,요양재해자수 (명),387,103,66,123,34,32,28,1,0,0,2023
제조업,출판·인쇄·제본업,요양재해율 (%),0.37,0.45,0.43,0.46,0.32,0.28,0.23,0.06,0,0,2023
제조업,화학 및 고무제품 제조업,사업장수 (개소),41085,25002,6820,6446,1436,849,447,45,24,16,2023
제조업,화학 및 고무제품 제조업,근로자수 (명),437959,44592,44965,107888,54266,57523,70296,16696,16750,24983,2023
제조업,화학 및 고무제품 제조업,요양재해자수 (명),3464,465,423,782,308,331,325,53,58,719,2023
제조업,화학 및 고무제품 제조업,요양재해율 (%),0.79,1.04,0.94,0.72,0.57,0.58,0.46,0.32,0.35,2.88,2023
제조업,의약품·화장품·연탄·석유제품제조업,사업장수 (개소),3799,1837,541,696,215,276,180,33,14,7,2023
제조업,의약품·화장품·연탄·석유제품제조업,근로자수 (명),113869,3219,3586,12255,8355,19665,29798,12825,9279,14887,2023
제조업,의약품·화장품·연탄·석유제품제조업,요양재해자수 (명),354,18,32,66,29,57,87,29,16,20,2023
제조업,의약품·화장품·연탄·석유제품제조업,요양재해율 (%),0.31,0.56,0.89,0.54,0.35,0.29,0.29,0.23,0.17,0.13,2023
제조업,기계기구·금속·비금속광물제품제조업,사업장수 (개소),182187,123517,27445,23144,4290,2352,1186,145,70,38,2023
제조업,기계기구·금속·비금속광물제품제조업,근로자수 (명),1515147,206906,180056,377712,161621,161391,190794,54698,48174,133795,2023
제조업,기계기구·금속·비금속광물제품제조업,요양재해자수 (명),15601,3577,2324,3945,1204,950,1160,544,287,1610,2023
제조업,기계기구·금속·비금속광물제품제조업,요양재해율 (%),1.03,1.73,1.29,1.04,0.74,0.59,0.61,0.99,0.6,1.2,2023
제조업,금속제련업,사업장수 (개소),274,87,38,53,21,25,35,5,4,6,2023
제조업,금속제련업,근로자수 (명),41457,152,274,942,802,1901,6634,1811,2624,26317,2023
제조업,금속제련업,요양재해자수 (명),350,4,3,13,25,43,68,15,34,145,2023
제조업,금속제련업,요양재해율 (%),0.84,2.63,1.09,1.38,3.12,2.26,1.03,0.83,1.3,0.55,2023
제조업,전기기계기구·정밀기구·전자제품제조업,사업장수 (개소),55678,35890,8196,7436,1743,1318,826,148,63,58,2023
제조업,전기기계기구·정밀기구·전자제품제조업,근로자수 (명),911665,61219,53837,122133,66595,91248,132895,57018,43596,283124,2023
제조업,전기기계기구·정밀기구·전자제품제조업,요양재해자수 (명),1939,291,185,368,183,207,281,157,86,181,2023
제조업,전기기계기구·정밀기구·전자제품제조업,요양재해율 (%),0.21,0.48,0.34,0.3,0.27,0.23,0.21,0.28,0.2,0.06,2023
제조업,선박건조 및 수리업,사업장수 (개소),8080,4721,1348,1240,257,377,126,3,3,5,2023
제조업,선박건조 및 수리업,근로자수 (명),127279,7815,8988,18550,9831,27128,16961,1141,2451,34414,2023
제조업,선박건조 및 수리업,요양재해자수 (명),3754,504,282,375,150,440,364,6,85,1548,2023
제조업,선박건조 및 수리업,요양재해율 (%),2.95,6.45,3.14,2.02,1.53,1.62,2.15,0.53,3.47,4.5,2023
제조업,수제품 및 기타제품 제조업,사업장수 (개소),24620,17852,3319,2774,429,193,52,1,0,0,2023
제조업,수제품 및 기타제품 제조업,근로자수 (명),133005,28779,21715,44832,15951,12933,8480,315,0,0,2023
제조업,수제품 및 기타제품 제조업,요양재해자수 (명),1046,305,164,358,85,86,48,0,0,0,2023
제조업,수제품 및 기타제품 제조업,요양재해율 (%),0.79,1.06,0.76,0.8,0.53,0.66,0.57,0,0,0,2023
전기·가스·증기 및 수도사업,소계,사업장수 (개소),3651,2475,285,291,193,251,124,20,5,7,2023
전기·가스·증기 및 수도사업,소계,근로자수 (명),79956,3168,1881,5314,7395,17511,21466,7644,3897,11680,2023
전기·가스·증기 및 수도사업,소계,요양재해자수 (명),134,12,6,22,18,22,28,9,5,12,2023
전기·가스·증기 및 수도사업,소계,요양재해율 (%),0.17,0.38,0.32,0.41,0.24,0.13,0.13,0.12,0.13,0.1,2023
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,사업장수 (개소),3651,2475,285,291,193,251,124,20,5,7,2023
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,근로자수 (명),79956,3168,1881,5314,7395,17511,21466,7644,3897,11680,2023
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,요양재해자수 (명),134,12,6,22,18,22,28,9,5,12,2023
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,요양재해율 (%),0.17,0.38,0.32,0.41,0.24,0.13,0.13,0.12,0.13,0.1,2023
건설업,소계,사업장수 (개소),321949,258248,28161,24958,4128,2999,2582,571,236,66,2023
건설업,소계,근로자수 (명),2233184,338212,186179,398727,155388,206799,443536,213256,152113,138974,2023
건설업,소계,요양재해자수 (명),32353,10228,3376,6534,2035,2450,4599,1710,888,533,2023
건설업,소계,요양재해율 (%),1.45,3.02,1.81,1.64,1.31,1.18,1.04,0.8,0.58,0.38,2023
건설업,건설업,사업장수 (개소),321949,258248,28161,24958,4128,2999,2582,571,236,66,2023
건설업,건설업,근로자수 (명),2233184,338212,186179,398727,155388,206799,443536,213256,152113,138974,2023
건설업,건설업,요양재해자수 (명),32353,10228,3376,6534,2035,2450,4599,1710,888,533,2023
건설업,건설업,요양재해율 (%),1.45,3.02,1.81,1.64,1.31,1.18,1.04,0.8,0.58,0.38,2023
운수·창고 및 통신업,소계,사업장수 (개소),102185,73986,10498,11418,2691,2144,1157,160,82,49,2023
운수·창고 및 통신업,소계,근로자수 (명),1120705,95203,69057,188944,101906,147182,187625,62447,54035,214306,2023
운수·창고 및 통신업,소계,요양재해자수 (명),14937,5510,903,1952,771,1026,1086,430,355,2904,2023
운수·창고 및 통신업,소계,요양재해율 (%),1.33,5.79,1.31,1.03,0.76,0.7,0.58,0.69,0.66,1.36,2023
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,사업장수 (개소),46911,34280,5135,4966,1099,816,456,78,45,36,2023
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,근로자수 (명),522624,50045,33446,81751,41505,55598,72774,30742,30334,126429,2023
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,요양재해자수 (명),3595,848,205,457,218,270,416,154,254,773,2023
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,요양재해율 (%),0.69,1.69,0.61,0.56,0.53,0.49,0.57,0.5,0.84,0.61,2023
운수·창고 및 통신업,육상 및 수상운수업,사업장수 (개소),49582,36211,4595,5638,1364,1087,596,58,25,8,2023
운수·창고 및 통신업,육상 및 수상운수업,근로자수 (명),501380,38718,30810,92822,51737,74920,97824,22140,16558,75851,2023
운수·창고 및 통신업,육상 및 수상운수업,요양재해자수 (명),11105,4608,678,1456,504,709,649,273,98,2130,2023
운수·창고 및 통신업,육상 및 수상운수업,요양재해율 (%),2.21,11.9,2.2,1.57,0.97,0.95,0.66,1.23,0.59,2.81,2023
운수·창고 및 통신업,통신업,사업장수 (개소),5692,3495,768,814,228,241,105,24,12,5,2023
운수·창고 및 통신업,통신업,근로자수 (명),96701,6440,4801,14371,8664,16664,17027,9565,7143,12026,2023
운수·창고 및 통신업,통신업,요양재해자수 (명),237,54,20,39,49,47,21,3,3,1,2023
운수·창고 및 통신업,통신업,요양재해율 (%),0.25,0.84,0.42,0.27,0.57,0.28,0.12,0.03,0.04,0.01,2023
임업,소계,사업장수 (개소),17948,7599,6600,3193,394,68,75,16,3,0,2023
임업,소계,근로자수 (명),137826,17290,41694,43510,13415,3773,10576,5618,1950,0,2023
임업,소계,요양재해자수 (명),1000,539,262,182,14,2,0,1,0,0,2023
임업,소계,요양재해율 (%),0.73,3.12,0.63,0.42,0.1,0.05,0,0.02,0,0,2023
임업,임업,사업장수 (개소),17948,7599,6600,3193,394,68,75,16,3,0,2023
임업,임업,근로자수 (명),137826,17290,41694,43510,13415,3773,10576,5618,1950,0,2023
임업,임업,요양재해자수 (명),1000,539,262,182,14,2,0,1,0,0,2023
임업,임업,요양재해율 (%),0.73,3.12,0.63,0.42,0.1,0.05,0,0.02,0,0,2023
어업,소계,사업장수 (개소),2129,1777,280,71,1,0,0,0,0,0,2023
어업,소계,근로자수 (명),5775,3025,1743,967,40,0,0,0,0,0,2023
어업,소계,요양재해자수 (명),37,23,13,1,0,0,0,0,0,0,2023
어업,소계,요양재해율 (%),0.64,0.76,0.75,0.1,0,0,0,0,0,0,2023
어업,어업,사업장수 (개소),2129,1777,280,71,1,0,0,0,0,0,2023
어업,어업,근로자수 (명),5775,3025,1743,967,40,0,0,0,0,0,2023
어업,어업,요양재해자수 (명),37,23,13,1,0,0,0,0,0,0,2023
어업,어업,요양재해율 (%),0.64,0.76,0.75,0.1,0,0,0,0,0,0,2023
농업,소계,사업장수 (개소),25693,20694,3217,1480,223,58,19,2,0,0,2023
농업,소계,근로자수 (명),93504,35994,20682,21871,8233,3565,2397,762,0,0,2023
농업,소계,요양재해자수 (명),706,353,128,143,54,21,7,0,0,0,2023
농업,소계,요양재해율 (%),0.76,0.98,0.62,0.65,0.66,0.59,0.29,0,0,0,2023
농업,농업,사업장수 (개소),25693,20694,3217,1480,223,58,19,2,0,0,2023
농업,농업,근로자수 (명),93504,35994,20682,21871,8233,3565,2397,762,0,0,2023
농업,농업,요양재해자수 (명),706,353,128,143,54,21,7,0,0,0,2023
농업,농업,요양재해율 (%),0.76,0.98,0.62,0.65,0.66,0.59,0.29,0,0,0,2023
금융 및 보험업,소계,사업장수 (개소),44137,14584,9019,14894,3211,1542,661,107,64,55,2023
금융 및 보험업,소계,근로자수 (명),853734,26647,62698,243334,118722,101417,101363,42072,43812,113669,2023
금융 및 보험업,소계,요양재해자수 (명),605,72,50,171,113,94,43,9,9,44,2023
금융 및 보험업,소계,요양재해율 (%),0.07,0.27,0.08,0.07,0.1,0.09,0.04,0.02,0.02,0.04,2023
금융 및 보험업,금융 및 보험업,사업장수 (개소),44137,14584,9019,14894,3211,1542,661,107,64,55,2023
금융 및 보험업,금융 및 보험업,근로자수 (명),853734,26647,62698,243334,118722,101417,101363,42072,43812,113669,2023
금융 및 보험업,금융 및 보험업,요양재해자수 (명),605,72,50,171,113,94,43,9,9,44,2023
금융 및 보험업,금융 및 보험업,요양재해율 (%),0.07,0.27,0.08,0.07,0.1,0.09,0.04,0.02,0.02,0.04,2023
기타의 사업,소계,사업장수 (개소),2013944,1523590,263318,168548,30127,17541,8592,1161,733,334,2023
기타의 사업,소계,근로자수 (명),12095817,2471380,1699911,2643851,1126451,1183860,1364081,436679,503032,666572,2023
기타의 사업,소계,요양재해자수 (명),51069,15076,7624,11936,4885,4087,4411,1165,1027,858,2023
기타의 사업,소계,요양재해율 (%),0.42,0.61,0.45,0.45,0.43,0.35,0.32,0.27,0.2,0.13,2023
기타의 사업,시설관리및사업지원서비스업,사업장수 (개소),275033,173293,51758,37487,6477,3958,1743,182,110,25,2023
기타의 사업,시설관리및사업지원서비스업,근로자수 (명),2191469,312492,335785,583071,242071,264707,264710,67774,75428,45431,2023
기타의 사업,시설관리및사업지원서비스업,요양재해자수 (명),10284,2737,2067,2890,1033,839,531,102,64,21,2023
기타의 사업,시설관리및사업지원서비스업,요양재해율 (%),0.47,0.88,0.62,0.5,0.43,0.32,0.2,0.15,0.08,0.05,2023
기타의 사업,해외파견자,사업장수 (개소),5031,3564,574,540,157,115,65,7,8,1,2023
기타의 사업,해외파견자,근로자수 (명),50634,4924,3757,8888,5924,7956,9643,2765,5512,1265,2023
기타의 사업,해외파견자,요양재해자수 (명),20,3,0,6,4,5,0,0,1,1,2023
기타의 사업,해외파견자,요양재해율 (%),0.04,0.06,0,0.07,0.07,0.06,0,0,0.02,0.08,2023
기타의 사업,전문·보건·교육·여가관련서비스업,사업장수 (개소),478865,321397,74586,57239,11969,8430,4180,585,324,155,2023
기타의 사업,전문·보건·교육·여가관련서비스업,근로자수 (명),4441882,566212,484657,918426,453694,573266,673712,221516,219796,330603,2023
기타의 사업,전문·보건·교육·여가관련서비스업,요양재해자수 (명),11666,1710,1086,2613,1557,1800,1973,397,241,289,2023
기타의 사업,전문·보건·교육·여가관련서비스업,요양재해율 (%),0.26,0.3,0.22,0.28,0.34,0.31,0.29,0.18,0.11,0.09,2023
기타의 사업,도소매·음식·숙박업,사업장수 (개소),952702,784476,104994,52010,6528,2943,1447,162,100,42,2023
기타의 사업,도소매·음식·숙박업,근로자수 (명),3553357,1219856,674323,785066,240630,196322,231773,59395,68321,77671,2023
기타의 사업,도소매·음식·숙박업,요양재해자수 (명),21064,9079,3777,4423,1115,751,1156,367,237,159,2023
기타의 사업,도소매·음식·숙박업,요양재해율 (%),0.59,0.74,0.56,0.56,0.46,0.38,0.5,0.62,0.35,0.2,2023
기타의 사업,부동산업 및 임대업,사업장수 (개소),67929,62829,3454,1370,133,77,44,14,4,4,2023
기타의 사업,부동산업 및 임대업,근로자수 (명),158723,85402,21727,20680,4943,5558,6927,5258,2348,5880,2023
기타의 사업,부동산업 및 임대업,요양재해자수 (명),295,181,36,41,8,8,9,3,5,4,2023
기타의 사업,부동산업 및 임대업,요양재해율 (%),0.19,0.21,0.17,0.2,0.16,0.14,0.13,0.06,0.21,0.07,2023
기타의 사업,국가 및 지방자치단체의 사업,사업장수 (개소),37862,16549,6016,9824,3572,1096,573,92,100,40,2023
기타의 사업,국가 및 지방자치단체의 사업,근로자수 (명),703158,30005,40567,176015,130910,72653,88916,34559,72051,57482,2023
기타의 사업,국가 및 지방자치단체의 사업,요양재해자수 (명),5834,553,346,1580,1067,563,653,281,461,330,2023
기타의 사업,국가 및 지방자치단체의 사업,요양재해율 (%),0.83,1.84,0.85,0.9,0.82,0.77,0.73,0.81,0.64,0.57,2023
기타의 사업,주한미군,사업장수 (개소),176,34,18,37,15,33,26,5,2,6,2023
기타의 사업,주한미군,근로자수 (명),21918,106,118,530,560,2311,4656,1940,1229,10468,2023
기타의 사업,주한미군,요양재해자수 (명),40,0,0,2,1,1,17,5,1,13,2023
기타의 사업,주한미군,요양재해율 (%),0.18,0,0,0.38,0.18,0.04,0.37,0.26,0.08,0.12,2023
기타의 사업,기타의 각종사업,사업장수 (개소),196346,161448,21918,10041,1276,889,514,114,85,61,2023
기타의 사업,기타의 각종사업,근로자수 (명),974676,252383,138977,151175,47719,61087,83744,43472,58347,137772,2023
기타의 사업,기타의 각종사업,요양재해자수 (명),1866,813,312,381,100,120,72,10,17,41,2023
기타의 사업,기타의 각종사업,요양재해율 (%),0.19,0.32,0.22,0.25,0.21,0.2,0.09,0.02,0.03,0.03,2023